investor_id,transaction_date,amfi_code,transaction_type,amount_inr
INV003054,2024-01-01,119092,SIP,1834
INV002952,2024-01-01,148567,REDEMPTION,392882
INV003420,2024-01-01,118636,SIP,912
INV003436,2024-01-01,118634,SIP,1102
INV004691,2024-01-01,119094,LUMPSUM,8682
INV001497,2024-01-01,101208,SIP,3295
INV000786,2024-01-01,101208,SIP,15047
INV000616,2024-01-01,100016,SIP,933
INV003670,2024-01-01,119120,SIP,10672
INV002054,2024-01-01,148567,SIP,1111
INV002592,2024-01-01,101208,LUMPSUM,411860
INV001023,2024-01-01,118636,SIP,4865
INV002893,2024-01-01,120843,SIP,8472
INV000797,2024-01-01,102885,SIP,58257
INV000368,2024-01-01,118636,REDEMPTION,339882
INV000548,2024-01-01,119095,SIP,1607
INV000600,2024-01-01,149322,SIP,20890
INV004347,2024-01-01,119599,SIP,1862
INV000437,2024-01-01,120504,SIP,900
INV000609,2024-01-01,120842,SIP,8493
INV000428,2024-01-01,118636,SIP,9146
INV003329,2024-01-01,101207,LUMPSUM,295055
INV000968,2024-01-01,100025,LUMPSUM,497564
INV004154,2024-01-01,102885,SIP,1897
INV000234,2024-01-01,148567,SIP,28094
INV002885,2024-01-01,148567,LUMPSUM,430566
INV002157,2024-01-01,102885,LUMPSUM,112928
INV001665,2024-01-01,120505,SIP,3322
INV002328,2024-01-01,120841,SIP,29901
INV004174,2024-01-01,119599,SIP,57353
INV004918,2024-01-01,120503,REDEMPTION,153828
INV000478,2024-01-01,120506,SIP,59382
INV000467,2024-01-01,119552,SIP,2623
INV000603,2024-01-01,118636,SIP,2858
INV004770,2024-01-01,102886,LUMPSUM,92031
INV004648,2024-01-01,118634,SIP,17860
INV002432,2024-01-01,101208,SIP,3513
INV002338,2024-01-01,120844,LUMPSUM,292991
INV001041,2024-01-01,101208,SIP,8547
INV001400,2024-01-01,148567,SIP,10696
INV000852,2024-01-01,101208,SIP,15916
INV004915,2024-01-01,120504,SIP,14096
INV002984,2024-01-01,120844,REDEMPTION,230179
INV002782,2024-01-01,102886,LUMPSUM,250209
INV002316,2024-01-01,118632,SIP,4715
INV000097,2024-01-01,125498,REDEMPTION,527377
INV002139,2024-01-01,125498,REDEMPTION,359482
INV002219,2024-01-01,101208,REDEMPTION,525983
INV000576,2024-01-01,120841,REDEMPTION,43157
INV002166,2024-01-01,120844,SIP,1139
INV000836,2024-01-01,100016,SIP,1139
INV001540,2024-01-01,101207,SIP,16264
INV003664,2024-01-01,125498,SIP,15555
INV002966,2024-01-01,149324,SIP,15946
INV002387,2024-01-01,118634,SIP,2891
INV000983,2024-01-01,101206,SIP,3538
INV004128,2024-01-01,119094,REDEMPTION,58934
INV000081,2024-01-01,120844,SIP,1842
INV004548,2024-01-01,119551,LUMPSUM,564276
INV002253,2024-01-01,120844,REDEMPTION,289915
INV002942,2024-01-01,148568,REDEMPTION,233200
INV004308,2024-01-01,119599,SIP,25855
INV000488,2024-01-01,148568,REDEMPTION,343317
INV002560,2024-01-02,119120,SIP,6321
INV003028,2024-01-02,100033,SIP,25360
INV002868,2024-01-02,148569,SIP,59797
INV001156,2024-01-02,120843,SIP,28986
INV000313,2024-01-02,120843,LUMPSUM,497034
INV003926,2024-01-02,118632,SIP,1891
INV003383,2024-01-02,125497,REDEMPTION,241316
INV001017,2024-01-02,118632,REDEMPTION,16893
INV003225,2024-01-02,120843,SIP,3346
INV003892,2024-01-02,102887,SIP,7250
INV002135,2024-01-02,100016,LUMPSUM,437305
INV002961,2024-01-02,149322,SIP,16811
INV000983,2024-01-02,101208,SIP,10547
INV003821,2024-01-02,119092,SIP,7584
INV002940,2024-01-02,102886,SIP,966
INV002817,2024-01-02,102886,LUMPSUM,26453
INV001890,2024-01-02,120504,SIP,859
INV001888,2024-01-02,120505,REDEMPTION,410786
INV000370,2024-01-02,118634,SIP,17394
INV002981,2024-01-02,102886,LUMPSUM,100110
INV003027,2024-01-02,148569,LUMPSUM,330642
INV001106,2024-01-02,118636,LUMPSUM,50410
INV003942,2024-01-02,118632,SIP,16594
INV000339,2024-01-02,101207,REDEMPTION,383487
INV002811,2024-01-02,125497,SIP,2631
INV004296,2024-01-02,100025,SIP,879
INV002976,2024-01-02,119599,LUMPSUM,234926
INV000349,2024-01-02,120505,REDEMPTION,335222
INV002546,2024-01-02,101208,REDEMPTION,22305
INV003505,2024-01-02,120843,LUMPSUM,362856
INV000006,2024-01-02,118633,SIP,8594
INV000662,2024-01-02,120843,SIP,427
INV001284,2024-01-02,119092,LUMPSUM,6499
INV004127,2024-01-02,148568,SIP,4185
INV003208,2024-01-02,120506,SIP,2506
INV002165,2024-01-02,118634,SIP,2539
INV002621,2024-01-02,148567,SIP,401
INV004502,2024-01-02,148567,SIP,10492
INV001174,2024-01-02,149323,SIP,977
INV004658,2024-01-02,120842,LUMPSUM,17258
INV004656,2024-01-02,120844,LUMPSUM,357937
INV003658,2024-01-02,125498,SIP,12014
INV003649,2024-01-02,119598,REDEMPTION,483596
INV004582,2024-01-02,149323,LUMPSUM,249744
INV003232,2024-01-02,120842,SIP,9766
INV004414,2024-01-02,149324,SIP,14409
INV001799,2024-01-02,119120,LUMPSUM,116421
INV001506,2024-01-02,119552,LUMPSUM,19502
INV001699,2024-01-02,119095,SIP,1108
INV002196,2024-01-02,148569,SIP,1696
INV001328,2024-01-02,120842,REDEMPTION,484947
INV004567,2024-01-02,120841,SIP,14130
INV003865,2024-01-02,149322,SIP,3482
INV000105,2024-01-02,119093,SIP,5253
INV004514,2024-01-02,148568,SIP,16661
INV004516,2024-01-02,102885,SIP,1137
INV002374,2024-01-02,118634,REDEMPTION,81173
INV001727,2024-01-02,119598,SIP,16687
INV002888,2024-01-03,100025,REDEMPTION,259110
INV001769,2024-01-03,120506,SIP,889
INV003609,2024-01-03,120843,SIP,16476
INV003571,2024-01-03,149323,SIP,536
INV001367,2024-01-03,118632,SIP,10274
INV003178,2024-01-03,119094,LUMPSUM,118897
INV002599,2024-01-03,100025,LUMPSUM,286111
INV003626,2024-01-03,125497,REDEMPTION,483044
INV000690,2024-01-03,148569,LUMPSUM,173646
INV001860,2024-01-03,119092,SIP,1978
INV002065,2024-01-03,100025,SIP,47647
INV002708,2024-01-03,120504,REDEMPTION,205486
INV004288,2024-01-03,119120,LUMPSUM,95676
INV004581,2024-01-03,120505,SIP,2292
INV002467,2024-01-03,125498,SIP,50948
INV003670,2024-01-03,120505,SIP,8793
INV004024,2024-01-03,119552,SIP,43121
INV000747,2024-01-03,120841,LUMPSUM,374549
INV002847,2024-01-03,148567,SIP,4736
INV001508,2024-01-03,120503,SIP,7953
INV004562,2024-01-03,149324,SIP,963
INV001350,2024-01-03,125498,LUMPSUM,83480
INV002357,2024-01-03,100016,SIP,26713
INV002059,2024-01-03,101208,LUMPSUM,268619
INV000595,2024-01-03,102887,LUMPSUM,124825
INV004391,2024-01-03,118636,SIP,484
INV004733,2024-01-03,102885,SIP,7080
INV002865,2024-01-03,148569,REDEMPTION,449863
INV000454,2024-01-03,119599,SIP,15910
INV002414,2024-01-03,120507,LUMPSUM,396379
INV000321,2024-01-03,149323,SIP,15782
INV003379,2024-01-03,120841,SIP,1008
INV004544,2024-01-03,148567,REDEMPTION,410715
INV000527,2024-01-03,119094,LUMPSUM,114021
INV004633,2024-01-03,125498,LUMPSUM,296354
INV003737,2024-01-03,119093,LUMPSUM,126721
INV000679,2024-01-03,149323,REDEMPTION,141968
INV004357,2024-01-03,125498,SIP,2459
INV004941,2024-01-03,120505,LUMPSUM,310085
INV000632,2024-01-03,120844,LUMPSUM,246606
INV000849,2024-01-03,148567,LUMPSUM,254442
INV001167,2024-01-03,118636,SIP,41124
INV000007,2024-01-03,119094,SIP,13603
INV000431,2024-01-03,120504,SIP,23759
INV002417,2024-01-03,120842,SIP,2719
