investor_id,avg_gap,total_sips,at_risk
INV000001,76.0,2,True
INV000002,207.0,3,True
INV000003,238.0,2,True
INV000004,85.4,6,True
INV000005,14.0,3,False
INV000006,123.75,5,True
INV000007,104.5,5,True
INV000008,70.4,6,True
INV000009,85.33333333333333,4,True
INV000010,64.8,6,True
INV000011,40.166666666666664,7,True
INV000012,57.0,8,True
INV000013,55.333333333333336,7,True
INV000014,75.33333333333333,7,True
INV000015,,1,False
INV000016,,1,False
INV000017,,1,False
INV000018,50.0,2,True
INV000019,205.0,3,True
INV000020,16.0,2,False
INV000021,144.0,3,True
INV000022,40.0,2,True
INV000023,58.57142857142857,8,True
INV000024,75.75,5,True
INV000025,,1,False
INV000026,144.66666666666666,4,True
INV000027,341.0,2,True
INV000028,93.6,6,True
INV000029,60.666666666666664,7,True
INV000030,47.625,9,True
INV000031,145.0,3,True
INV000032,102.33333333333333,4,True
INV000033,45.57142857142857,8,True
INV000034,,1,False
INV000035,144.0,2,True
INV000036,99.0,2,True
INV000037,63.0,2,True
INV000038,69.0,4,True
INV000039,68.6,6,True
INV000040,55.0,5,True
INV000041,,1,False
INV000042,22.666666666666668,4,False
INV000043,,1,False
INV000044,17.0,2,False
INV000045,70.6,6,True
INV000046,33.666666666666664,4,False
INV000047,77.0,2,True
INV000048,46.0,9,True
INV000049,247.5,3,True
INV000050,143.0,2,True
INV000051,74.5,3,True
INV000052,36.2,6,True
INV000053,7.0,2,False
INV000054,68.25,5,True
INV000055,100.0,5,True
INV000056,74.8,6,True
INV000057,49.714285714285715,8,True
INV000058,76.75,5,True
INV000059,,1,False
INV000060,90.0,2,True
INV000061,20.0,3,False
INV000062,116.0,5,True
INV000063,218.0,3,True
INV000065,112.33333333333333,4,True
INV000066,98.0,2,True
INV000067,,1,False
INV000069,49.111111111111114,10,True
INV000070,92.0,3,True
INV000071,24.333333333333332,4,False
INV000072,83.0,6,True
INV000073,48.25,9,True
INV000074,72.57142857142857,8,True
INV000075,74.8,6,True
INV000076,91.8,6,True
INV000078,,1,False
INV000079,65.8,6,True
INV000080,81.0,4,True
INV000081,81.33333333333333,7,True
INV000082,83.66666666666667,7,True
INV000083,,1,False
INV000084,102.0,4,True
INV000085,91.25,5,True
INV000086,44.666666666666664,10,True
